grd_id,n_users,car_tt_kfreq,pt_tt_kfreq,car_tt_kdist,pt_tt_kdist,car_tt_diff,pt_tt_diff,car_tt_diff_grd,pt_tt_diff_grd,popu,region,city
1kmN6849E0575,1,5.767632516615632,6.168065813400562,5.720030313254622,5.720158550705214,0.047602203361010176,0.447907262695348,0.047602203361010176,0.447907262695348,8,Juva,Sulkava
1kmN6849E0626,4,13.355949064547222,16.137022064257227,5.813158959149019,6.1925340298007825,7.542790105398203,9.944488034456445,7.542790105398202,9.944488034456445,317,Savonlinna,Savonlinna
1kmN6849E0628,3,5.771783495995057,5.771783495995057,5.771783495995057,5.771783495995057,0.0,0.0,0.0,0.0,36,Savonlinna,Savonlinna
1kmN6849E0632,1,11.0,37.0,8.0,18.0,3.0,19.0,3.0,19.0,11,Savonlinna,Savonlinna
1kmN6849E0639,1,42.69441425103614,63.736174674226234,7.116280986051354,7.653295456919612,35.578133264984785,56.08287921730662,35.578133264984785,56.08287921730662,10,Middle Karelia,Kitee
1kmN6850E0235,5,25.544056052284866,21.941493573499,12.60198148865131,21.941493573499,12.942074563633557,0.0,12.942074563633556,0.0,123,Pori,Pomarkku
1kmN6850E0236,6,13.213164051541197,11.829667167215662,12.798255934477819,12.173255934477819,0.41723004531258834,-0.23408908139867624,0.41490811706337816,-0.3435887672621565,275,Pori,Pomarkku
1kmN6850E0248,1,12.46729431376211,27.321008453672647,12.46729431376211,27.321008453672647,0.0,0.0,0.0,0.0,2,Pori,Pomarkku
1kmN6850E0264,1,5.784206225402562,5.784206225402562,,,,,,,13,Northern Satakunta,Kankaanpää
1kmN6850E0288,1,8.526038454633973,15.64753459117452,6.682269182437814,12.942603773523562,1.843769272196159,2.7049308176509577,1.843769272196159,2.7049308176509577,28,North Western Pirkanm,Ikaalinen
1kmN6850E0303,1,13.164796374598463,66.23597280948847,13.0,65.0,0.1647963745984633,1.235972809488473,0.1647963745984633,1.235972809488473,4,North Western Pirkanm,Ylöjärvi
1kmN6850E0327,1,10.5,50.5,10.5,50.5,0.0,0.0,0.0,0.0,3,Upper Pirkanmaa,Ylöjärvi
1kmN6850E0433,2,32.031454876148906,32.031454876148906,,,,,,,4,South Eastern Middle,Luhanka
1kmN6850E0448,2,22.905611585676283,6.0,22.85968295613713,5.759759650669986,0.04592862953915322,0.2402403493300138,0.045928629539151444,0.2402403493300138,3,South Eastern Middle,Joutsa
1kmN6850E0449,1,,,,,,,,,11,South Eastern Middle,Joutsa
1kmN6850E0452,1,,,,,,,,,16,South Eastern Middle,Joutsa
1kmN6850E0455,1,14.0,65.0,13.0,62.0,1.0,3.0,1.0,3.0,4,South Eastern Middle,Joutsa
1kmN6850E0506,1,,,,,,,,,10,Mikkeli,Mikkeli
1kmN6850E0511,2,,,,,,,,,14,Mikkeli,Mikkeli
1kmN6850E0527,1,,,,,,,,,6,Mikkeli,Mikkeli
1kmN6850E0554,1,11.0,27.0,11.0,27.0,0.0,0.0,0.0,0.0,4,Juva,Juva
1kmN6850E0555,1,,,,,,,,,11,Juva,Juva
1kmN6850E0572,1,34.0,,19.837008108917573,,14.162991891082427,,14.162991891082427,,176,Juva,Sulkava
1kmN6850E0599,1,,,,,,,,,2,Savonlinna,Savonlinna
1kmN6850E0625,1,6.492128793017032,12.0,5.756534441181512,6.0,0.7355943518355197,6.0,0.7355943518355197,6.0,41,Savonlinna,Savonlinna
1kmN6850E0627,1,,,,,,,,,22,Savonlinna,Savonlinna
1kmN6850E0629,1,,,,,,,,,4,Savonlinna,Savonlinna
1kmN6850E0631,2,5.715217630175037,5.715217630175037,,,,,,,1,Savonlinna,Savonlinna
1kmN6850E0632,1,,,,,,,,,3,Savonlinna,Savonlinna
1kmN6850E0633,2,22.86682487506531,6.0,5.855945184908542,6.0,17.010879690156766,0.0,17.010879690156766,0.0,2,Savonlinna,Savonlinna
1kmN6850E0647,1,,,,,,,,,5,Imatra,Parikkala
1kmN6850E0652,1,,,,,,,,,39,Imatra,Parikkala
1kmN6850E0653,1,6.0,9.0,6.0,9.0,0.0,0.0,0.0,0.0,8,Imatra,Parikkala
1kmN6851E0231,1,,,,,,,,,12,Pori,Pomarkku
1kmN6851E0236,2,,,,,,,,,124,Pori,Pomarkku
1kmN6851E0237,1,,,,,,,,,151,Pori,Pomarkku
1kmN6851E0289,1,,,,,,,,,19,North Western Pirkanm,Ikaalinen
