home_gid9,car_tt_kfreq,pt_tt_kfreq,car_tt_kdist,pt_tt_kdist,user_id,home_grd_id,inc_quar,name,NAME_3,stay_gid9,poi_count,log_poi,pt_tt_diff,log_pt_diff,perc_pt_diff,poi_deciles
891126d7217ffff,14.0,52.0,14.0,52.0,3,1kmN6684E0391,Q4,Helsinki,Helsinki,891126d7217ffff,47.0,3.871201010907891,0.0,0.0,0.0,"(3.807, 4.382]"
891126d7223ffff,9.078439597444106,9.078439597444106,7.4337352502616065,7.4337352502616065,1,1kmN6685E0392,Q4,Vantaa,Helsinki,891126d7223ffff,26.0,3.295836866004329,1.6447043471824996,0.178158684755779,0.22124871169236482,"(3.178, 3.434]"
891126d7237ffff,5.799903184737445,5.799903184737445,5.762520993710796,5.762520993710796,3,1kmN6771E0561,Q1,Lappeenranta,Lappeenranta,891126d7237ffff,256.0,5.54907608489522,0.037382191026649636,0.005512625943882243,0.006487124483789037,"(4.382, 7.812]"
891126d726fffff,28.01787272387921,85.65943019233094,28.90713793429576,57.31087057671874,1,1kmN6684E0392,Q4,Helsinki,Helsinki,891126d726fffff,17.0,2.8903717578961645,28.348559615612203,0.3961973058134971,0.4946454194525562,"(2.639, 2.944]"
891126d7277ffff,6.388187690984677,19.340164794544386,9.5,19.340164794544386,5,1kmN6684E0392,Q4,Helsinki,Helsinki,891126d7277ffff,21.0,3.091042453358316,0.0,0.0,0.0,"(2.944, 3.178]"
891126d727bffff,5.740027645176588,5.740027645176588,5.7369072038299604,5.7369072038299604,2,1kmN6683E0392,Q4,Helsinki,Helsinki,891126d727bffff,17.0,2.8903717578961645,0.0031204413466277003,0.0004630787990520524,0.0005439239708364975,"(2.639, 2.944]"
891126d728bffff,6.0,8.0,6.0,8.0,1,1kmN6684E0391,Q4,Helsinki,Helsinki,891126d728bffff,58.0,4.07753744390572,0.0,0.0,0.0,"(3.807, 4.382]"
891126d7297ffff,6.340349223015307,6.340349223015307,6.340349223015307,6.340349223015307,3,1kmN6672E0372,Q4,Espoo,Helsinki,891126d7297ffff,43.0,3.784189633918261,0.0,0.0,0.0,"(3.434, 3.807]"
891126d72a3ffff,5.859631287698741,5.859631287698741,5.859631287698741,5.859631287698741,1,1kmN6685E0391,Q1,Vantaa,Helsinki,891126d72a3ffff,264.0,5.579729825986222,0.0,0.0,0.0,"(4.382, 7.812]"
891126d72afffff,5.824616501631133,6.0,5.82187281484925,6.0,2,1kmN6685E0391,Q1,Vantaa,Helsinki,891126d72afffff,342.0,5.8377304471659395,0.0,0.0,0.0,"(4.382, 7.812]"
891126d72b3ffff,9.84394391341188,180.0,10.091506495307724,49.126389626000275,1,1kmN6685E0391,Q1,Vantaa,Helsinki,891126d72b3ffff,176.0,5.176149732573829,130.87361037399972,1.2839494228113986,2.6640184912903617,"(4.382, 7.812]"
891126d72c3ffff,9.105494180791768,19.824951783589995,7.9295165286367,10.424416897667387,4,1kmN6683E0391,Q3,Helsinki,Helsinki,891126d72c3ffff,92.0,4.532599493153256,9.400534885922609,0.6003989746618967,0.9017804044297302,"(4.382, 7.812]"
891126d72cbffff,50.06926150168432,50.06926150168432,50.06926150168432,50.06926150168432,1,1kmN6675E0393,Q1,Helsinki,Helsinki,891126d72cbffff,90.0,4.51085950651685,0.0,0.0,0.0,"(4.382, 7.812]"
