grd_id,n_users,popu,city,region,mean_qk,mean_qk_nw,log_poi,mean_qk_null
1kmN7121E0532,7,1832.0,Kajaani,Kajaani,0.6559382646339168,0.7307692307692307,1.9948157403642743,1.0
1kmN7121E0533,7,678.0,Kajaani,Kajaani,0.8232142857142858,0.893167701863354,0.775627970171724,0.4836581973142913
1kmN7121E0534,7,593.0,Kajaani,Kajaani,0.8775510204081632,0.7346938775510203,1.6884918080426483,0.8896971183319516
1kmN7121E0535,11,1614.0,Kajaani,Kajaani,0.5175619834710744,0.7656565656565657,4.402486306802125,0.9857064321055524
1kmN7121E0536,9,1509.0,Kajaani,Kajaani,0.5447607947607948,0.7484321234321234,2.576842031755242,0.7327143955104275
1kmN7121E0537,7,741.0,Kajaani,Kajaani,0.6897959183673469,0.8142857142857143,2.0241128909528348,1.0
1kmN7122E0534,8,1439.0,Kajaani,Kajaani,0.6453125,0.7069444444444445,2.065438098156472,0.7987485524317941
1kmN7122E0535,7,3418.0,Kajaani,Kajaani,0.4708333333333333,0.4949404761904761,16.52365661796751,0.9166904302388172
1kmN7122E0536,9,810.0,Kajaani,Kajaani,0.6071428571428572,0.675925925925926,1.70135889359404,1.0
1kmN7123E0535,9,1078.0,Kajaani,Kajaani,0.7615740740740741,0.8518518518518517,0.7414804336825884,0.8666534886794435
1kmN7123E0536,8,1903.0,Kajaani,Kajaani,0.5489583333333333,0.7958333333333334,1.4487130923897853,0.924876293297346
1kmN7123E0537,8,1278.0,Kajaani,Kajaani,0.670016339869281,0.8541666666666666,0.8026274423497417,1.0
1kmN7127E0345,7,3.0,Kalajoki,Ylivieska,0.7450140502772082,0.808531746031746,0.5244616743333869,0.2027777777777777
1kmN7128E0393,6,802.0,Oulainen,Ylivieska,0.9320175438596492,0.9444444444444444,0.7607716304648315,0.7686660549127702
1kmN7128E0394,7,983.0,Oulainen,Ylivieska,0.3848484848484848,0.5571428571428572,4.513875487863847,0.6358604845446951
1kmN7129E0351,8,586.0,Kalajoki,Ylivieska,0.4791666666666667,0.6055555555555555,1.016991686911564,0.6778947368421052
1kmN7151E0368,8,493.0,Pyhäjoki,Raahe,0.6623737373737374,0.6267241379310344,1.407941064710294,0.9332017915413832
1kmN7171E0379,6,413.0,Raahe,Raahe,0.7698412698412698,0.8819444444444443,0.3207810506463991,0.4394507883366189
