user_id,visit_freq,home_dist,work_dist,CIVIC_RELIGION,CULTURE,DINING,EDUCATION,FITNESS,GROCERIES,HEALTHCARE,PARK,RETAIL,SERVICE,TOURISM,TRANSPORT
1b77f881-e3a5-4937-aa4b-bda8419cbb69,4,167899.3886,47.74807696,0,0,0,0,0,0,0,0,1,1,0,0
1b77f881-e3a5-4937-aa4b-bda8419cbb69,1,167344.4263,1632.56908,0,0,0,0,0,0,0,0,0,0,0,1
1b77f881-e3a5-4937-aa4b-bda8419cbb69,3,167443.4998,1540.829831,0,0,0,0,0,0,0,0,0,0,0,1
1b77f881-e3a5-4937-aa4b-bda8419cbb69,3,187880.2312,49120.57508,1,0,2,1,3,0,0,0,0,1,0,1
1b77f881-e3a5-4937-aa4b-bda8419cbb69,8,178476.4001,20387.80125,0,0,0,1,0,0,0,0,1,2,0,1
1b77f881-e3a5-4937-aa4b-bda8419cbb69,8,41.82632867,167866.0975,0,0,0,0,0,0,0,0,0,0,0,0
29a55739-f004-2791-5ec4-d0792d22f7b5,29,31.52792015,7182.131417,4,10,24,17,10,7,4,0,23,17,2,4
29a55739-f004-2791-5ec4-d0792d22f7b5,2,852.5519819,6361.44357,3,10,25,18,6,10,1,0,23,34,3,8
29a55739-f004-2791-5ec4-d0792d22f7b5,1,2671.502535,9104.857872,0,1,8,6,0,3,2,0,9,11,0,7
29a55739-f004-2791-5ec4-d0792d22f7b5,1,2555.313642,4631.83601,5,17,119,8,21,32,10,0,84,48,9,14
29a55739-f004-2791-5ec4-d0792d22f7b5,10,7187.174309,17.56463992,0,5,15,4,1,3,0,0,2,1,3,0
29a55739-f004-2791-5ec4-d0792d22f7b5,6,7151.967012,90.35138796,0,3,11,3,0,3,0,0,0,1,2,0
29a55739-f004-2791-5ec4-d0792d22f7b5,3,7223.822311,125.4407506,0,7,17,6,2,3,0,0,2,2,4,0
29a55739-f004-2791-5ec4-d0792d22f7b5,3,7272.677517,113.3087223,0,4,9,3,0,3,0,0,2,1,3,0
29a55739-f004-2791-5ec4-d0792d22f7b5,1,5935.465921,5326.748514,0,0,3,0,1,0,0,2,0,0,0,1
29a55739-f004-2791-5ec4-d0792d22f7b5,2,4013.423786,5106.020346,5,11,133,30,30,14,50,0,54,126,9,17
29a55739-f004-2791-5ec4-d0792d22f7b5,1,4000.864661,3397.962232,5,19,43,17,13,7,11,0,38,70,11,4
29a55739-f004-2791-5ec4-d0792d22f7b5,1,4673.361806,2734.015505,4,13,81,15,17,10,5,0,39,55,19,12
2ae0928e-22e9-40ca-ad99-d306f12c433c,19,1294.876703,114.9845954,0,1,0,5,1,0,0,0,1,2,1,0
2ae0928e-22e9-40ca-ad99-d306f12c433c,23,1408.68945,24.93250504,0,1,0,6,1,0,0,0,1,3,1,0
2ae0928e-22e9-40ca-ad99-d306f12c433c,12,1369.727853,82.2212529,0,1,0,3,0,0,0,0,1,2,1,0
2ae0928e-22e9-40ca-ad99-d306f12c433c,6,9823.69126,,0,0,0,0,0,0,0,0,0,0,0,0
2ae0928e-22e9-40ca-ad99-d306f12c433c,1,1942.700624,1021.4904,3,12,111,10,24,9,30,0,92,120,12,14
2ae0928e-22e9-40ca-ad99-d306f12c433c,3,1956.418303,781.2273137,2,8,34,7,8,10,11,0,31,52,6,8
2ae0928e-22e9-40ca-ad99-d306f12c433c,1,2027.677882,1218.051348,3,10,104,9,22,4,28,0,88,109,12,15
2ae0928e-22e9-40ca-ad99-d306f12c433c,3,1800.778869,1115.055276,3,11,103,10,25,6,29,0,82,107,13,10
2ae0928e-22e9-40ca-ad99-d306f12c433c,3,2059.812359,,3,10,104,9,23,12,27,0,94,114,13,16
2ae0928e-22e9-40ca-ad99-d306f12c433c,23,556.8529804,1825.41076,0,0,0,3,0,1,0,0,2,1,0,0
