home_gid9,car_tt_kfreq,pt_tt_kfreq,car_tt_kdist,pt_tt_kdist,poi_count,log_poi,pt_tt_diff,log_pt_diff,perc_pt_diff
890899015afffff,41.17604893719833,55.383430584430585,21.0,55.383430584430585,0.0,0.0,0.0,0.0,0.0
89089925bb3ffff,9.576206968787917,12.964905640835504,9.42208024641934,13.088176262562108,6.0,1.9459101490553132,0.1232706217266041,0.0087884401127737,0.0094184720050884
8908992ac0bffff,5.753685651361573,6.0,5.745604415066557,5.868761589385771,2.0,1.0986122886681098,0.1312384106142285,0.0189263226242275,0.022362198330153
89089944673ffff,5.679792463940755,5.679792463940755,5.938233121578792,5.8398962319703775,6.0,1.9459101490553132,0.1601037680296224,0.0236856419612336,0.0274155159047412
89089946a23ffff,5.820432988736453,5.820432988736453,5.840558327614694,5.840558327614694,2.0,1.0986122886681098,0.0201253388782411,0.0029463972228114,0.0034457902394513
89089961267ffff,13.88944071213204,5.778881424264082,5.778881424264082,5.778881424264082,4.0,1.6094379124341005,0.0,0.0,0.0
89089961293ffff,12.59844639257043,38.09844639257043,9.690973479987033,35.19097347998703,2.0,1.0986122886681098,2.907472912583401,0.0772729956396087,0.0826198489290689
89089961373ffff,31.497773223431626,40.90452408052626,13.0,40.90452408052626,3.0,1.3862943611198906,0.0,0.0,0.0
8908996145bffff,23.05176647209915,22.0,23.05176647209915,22.0,1.0,0.6931471805599453,0.0,0.0,0.0
89089961643ffff,480.2476674297078,92.88819839398217,11.388198393982163,27.888198393982165,2.0,1.0986122886681098,65.0,1.1786715439634028,2.330734996995216
89089961a2fffff,14.618718628944409,32.16666666666667,16.170961630622205,13.5,0.0,0.0,18.66666666666667,0.827396706069909,1.3827160493827164
89089961b07ffff,9.11348933340386,7.3634893334038605,5.8634893334038605,7.3634893334038605,0.0,0.0,0.0,0.0,0.0
89089961b9bffff,54.86315943620609,54.86315943620609,54.86315943620609,54.86315943620609,5.0,1.791759469228055,0.0,0.0,0.0
89089961e77ffff,41.97818936869584,38.7776957274496,29.414522577516635,39.24300327017178,2.0,1.0986122886681098,0.4653075427221864,0.0116298106124941,0.0118570828924263
89089961e87ffff,7.0,10.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0
89089963393ffff,34.39663222534573,7.0,5.790831051888022,7.0,1.0,0.6931471805599453,0.0,0.0,0.0
89089964e67ffff,12.209199176859473,33.213914873689006,5.795365714834251,8.1127424865462,2.0,1.0986122886681098,25.101172387142807,1.3229587216707874,3.094042788707942
89089965247ffff,43.60195333684386,180.0,10.5,44.0,16.0,2.833213344056216,136.0,1.3918345414955064,3.090909090909091
89089967227ffff,10.461743473924953,11.798591465766773,5.825351147159897,6.075351147159897,0.0,0.0,5.723240318606874,0.5927180487284893,0.9420427198323132
89089968003ffff,16.0,33.0,10.388154555894207,18.5,7.0,2.0794415416798357,14.5,0.5559460590464607,0.7837837837837838
